UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2024,19,4383991,2242371,2141620,1630787,1546120,328074,319387,36445,34684,131095,129376,6795,6651,109175,105402,1730709,1642397,384728,374694,60097,57270,171717,168116,14676,14208,1666135,1594547,1133835,1074095,297908,290497,18039,17608,125127,123708,4727,4723,86499,83916,1213278,1150960,343460,335244,33146,32107,159268,156376,10577,10401,576236,547073,496952,472025,30166,28890,18406,17076,5968,5668,2068,1928,22676,21486,517431,491437,41268,39450,26951,25163,12449,11740,4099,3807
R,7,2024,20,4408755,2253482,2155273,1645896,1561278,325699,318678,35815,33965,133821,132420,6646,6454,105605,102478,1742576,1655021,379692,371816,58954,56439,173443,170315,14379,13915,1688125,1615526,1156984,1094260,296416,290799,17963,17398,127969,126903,4707,4586,84086,81580,1234234,1169069,340034,333721,33001,32154,161369,158829,10504,10130,565357,539747,488912,467018,29283,27879,17852,16567,5852,5517,1939,1868,21519,20898,508342,485952,39658,38095,25953,24285,12074,11486,3875,3785
R,7,2024,21,4369473,2232243,2137230,1632401,1549722,321750,316487,35352,33165,135541,133657,6609,6439,100590,97760,1724182,1639051,372908,366367,58065,55373,173147,169986,14170,13540,1677726,1606593,1152323,1089389,292938,289569,17583,17041,129881,128199,4679,4619,80322,77776,1225832,1160697,334356,329801,32461,31606,161682,158777,10364,10013,554517,530637,480078,460333,28812,26918,17769,16124,5660,5458,1930,1820,20268,19984,498350,478354,38552,36566,25604,23767,11465,11209,3806,3527
R,7,2024,22,4351768,2221081,2130687,1621284,1542571,325595,320742,34991,32847,136114,133624,6373,6214,96724,94689,1709507,1628665,374552,369410,57463,55179,171986,168093,13589,13283,1675106,1609180,1148031,1089758,297213,293949,17745,17116,130624,128442,4555,4424,76938,75491,1218409,1158645,336791,333308,32368,31885,160827,157471,10053,9799,545975,521507,473253,452813,28382,26793,17246,15731,5490,5182,1818,1790,19786,19198,491098,470020,37761,36102,25095,23294,11159,10622,3536,3484
R,7,2024,23,4433371,2261247,2172124,1645191,1568594,333203,328687,34738,33315,145235,142069,6290,6231,96590,93228,1732973,1653377,381841,376087,57761,55420,181086,176266,13554,13320,1716507,1651111,1172416,1115497,305020,302294,17972,17473,139759,136986,4570,4372,76770,74489,1242284,1183423,344170,340752,33203,32225,170075,165949,10057,9749,544740,521013,472775,453097,28183,26393,16766,15842,5476,5083,1720,1859,19820,18739,490689,469954,37671,35335,24558,23195,11011,10317,3497,3571
R,7,2024,24,4436574,2260728,2175846,1643336,1567265,337144,333389,35150,33646,145108,143854,6414,6130,93576,91562,1728485,1650103,384198,380215,58308,56117,179064,176936,13452,13083,1722705,1660980,1175654,1119881,309709,307081,18434,17733,139699,138744,4671,4373,74538,73168,1243587,1186219,347674,344992,33827,32882,168514,166680,10066,9665,538023,514866,467682,447384,27435,26308,16716,15913,5409,5110,1743,1757,19038,18394,484898,463884,36524,35223,24481,23235,10550,10256,3386,3418
R,7,2024,25,4368991,2222394,2146597,1618587,1548926,329174,326545,34006,33081,143058,143483,6360,5941,91209,88621,1701359,1629117,374662,371417,56813,55416,176203,175347,13583,12744,1700810,1644295,1165185,1112339,302515,300920,18007,17547,137716,138373,4611,4255,72776,70861,1231345,1176550,339296,337410,33426,32784,165757,165177,10157,9479,521584,502302,453402,436587,26659,25625,15999,15534,5342,5110,1749,1686,18433,17760,470014,452567,35366,34007,23387,22632,10446,10170,3426,3265
R,7,2024,26,4361961,2215123,2146838,1610364,1543622,329983,328022,33827,32993,146588,149968,6320,6034,88041,86199,1689975,1621683,373568,371186,56331,55032,178405,180861,13163,12600,1700876,1651712,1162794,1112598,304067,303016,17763,17725,141419,144897,4645,4362,70188,69114,1226343,1175306,339299,338050,32954,32867,168356,171101,9945,9426,514247,495126,447570,431024,25916,25006,16064,15268,5169,5071,1675,1672,17853,17085,463632,446377,34269,33136,23377,22165,10049,9760,3218,3174
R,7,2024,27,4370427,2214506,2155921,1609108,1548863,328452,327992,33482,32307,151677,156571,6292,6001,85495,84187,1686449,1624710,370036,369632,56025,54652,182826,186772,13033,12636,1704209,1664673,1164992,1120805,302846,303586,17593,17323,146528,151573,4584,4394,67666,66992,1226324,1181184,336011,337103,32763,32574,172875,177131,9762,9509,510297,491248,444116,428058,25606,24406,15889,14984,5149,4998,1708,1607,17829,17195,460125,443526,34025,32529,23262,22078,9951,9641,3271,3127
R,7,2024,28,4397605,2229358,2168247,1620764,1556528,328028,329001,33316,32013,157114,162906,6409,6254,83727,81545,1696365,1629983,368095,368689,56029,54273,187732,192430,13078,12820,1722318,1679033,1178691,1129611,302854,304903,17685,17199,152075,157873,4644,4561,66369,64886,1238684,1188121,334854,336743,33046,32434,178066,182877,9823,9714,507040,489214,442073,426917,25174,24098,15631,14814,5039,5033,1765,1693,17358,16659,457681,441862,33241,31946,22983,21839,9666,9553,3255,3106
